Target ID,Period,Power
Target ID,Period,Power
144456191,1.020453820844831 d,0.06102530142499083
Target ID,Period,Power
144456191,1.020453820844831 d,0.06102530142499083
441055500,1.0578546252343364 d,0.06235263168671685
422790055,1.0 d,0.5670370874108255
177500431,7.389042726243509 d,1.2268946248540413
291688847,1.0045095711485297 d,0.11160460811941599
183984307,1.0401553147556524 d,0.07313263078749048
77041172,1.035485718235981 d,0.12654117955410266
34035509,1.0698211687341106 d,0.07125513765537692
34015812,1.0113120869487369 d,0.0817640167807388
248601764,1.0843598392690386 d,0.3256940562211168
33986466,1.0319972831933986 d,0.055462449466221767
129633313,1.0158726707582002 d,0.04306983467231845
396194119,1.0239032358054565 d,0.053350077885369655
144382040,1.014730600331042 d,0.585278486192466
144376819,1.005640137896622 d,0.13487492391512443
431422583,4.58107359918164 d,15.0956872442935
2053342742,1.1279026499232754 d,1.554327940051702
2733719,8.542937519867884 d,4.104358043942683
288144896,9.006740704326777 d,0.0023500948211344404
325219117,1.0079050901539293 d,0.2666725043970748
327831847,1.0113120869487369 d,0.271730018075949
186893986,1.0262093211115306 d,0.20415785314234797
345142414,6.798885287766829 d,21.785704235455082
2055273342,5.801715441761482 d,0.28918438036264366
277938251,1.019306600169825 d,0.03279279915902011
336678031,1.2175616552697652 d,0.15366352712951278
66419115,1.2410686313301689 d,0.6097844233266781
8988748,7.729100764131422 d,0.0252727860644553
224270521,1.0045095711485297 d,0.041910720437145894
434105262,1.0413260004768146 d,0.2385904207894287
398573783,1.0033802754129233 d,0.31743393324294983
402339032,1.0590452313748415 d,0.0034387401040521723
402027326,1.2494731196658173 d,0.004812981033477405
28579069,7.54866328559974 d,1.4677286534623621
2055059079,1.6683090365470334 d,10.730190770083558
333224807,8.89598295988734 d,0.02759543808205847
405170915,1.0262093211115306 d,0.18767041916569632
25769850,1.14967861541583 d,0.5004661977557134
422526868,1.0250556299537197 d,0.01427271354443341
354308207,1.001125491265155 d,0.13007393468854392
435231234,3.5767856663179702 d,0.1443502771107834
435229564,1.0471992227148417 d,0.037418356638647565
9143444,1.014730600331042 d,0.05703302251209208
435210243,1.0331587871212964 d,0.2815999080952524
243135276,4.674774057856287 d,0.11950834981053889
381923120,1.134264176402808 d,0.12642571999132726
422444008,1.0471992227148417 d,0.02267554085585565
301256988,1.0033802754129233 d,0.2753048808758174
21331268,1.0722306726706852 d,0.04114935315567904
362965390,1.0022522492608983 d,0.09513259940296517
188619138,1.0250556299537197 d,0.004701486341554283
435187907,1.0460219341647785 d,0.1163100872222963
218978885,9.592344506753546 d,0.17450772712142307
301135547,1.014730600331042 d,0.7086471723999208
318631844,1.1140325988633226 d,8.138550529935195
218970233,1.0366511483670484 d,0.18791862906891568
5796523,1.0319972831933986 d,0.11920471944880627
422609145,1.0124503098689435 d,0.6573589816379339
4600989,6.068721607865007 d,0.14001196681610392
4601217,1.0033802754129233 d,0.048921153546420695
97173520,1.1090313431155936 d,0.6295570176990334
405173130,1.0 d,0.0042161378597711475
90884697,1.0389859451497674 d,0.19471085327225518
262568916,1.3457649815910278 d,0.5713926565218572
455816370,9.977528119666887 d,7961.805678319541
260795156,8.92605383236043 d,482.98838452635476
268518702,1.182468139675574 d,40.33461559001189
315301267,1.209371817034282 d,0.6798607885440012
204328293,9.016877712317015 d,0.013046939505212775
217978811,1.1745143553718052 d,0.07195545682765517
173387780,1.0158726707582002 d,1.7201683941486732
217978865,1.006771977087714 d,0.0949227773889548
402891559,9.263618355929378 d,0.11319176438639968
392815631,1.001125491265155 d,0.022995267942131022
436823466,1.862736571023272 d,0.0822400757151647
252627215,1.0090394785290029 d,5.758951355397456
237328343,8.916018930933708 d,7.923214146570273
173175807,1.0343215983117198 d,0.7116270579226105
373928876,1.0626250959316317 d,6.468336442809256
12933046,1.006771977087714 d,0.2246889327608901
2050727554,1.035485718235981 d,24.98410064548587
217329125,8.659034450487418 d,0.10144848996367589
111754737,1.52131055979539 d,0.36772877273470866
36726784,10.0 d,0.03989127029205581
237313246,1.0135898138491046 d,0.030977711827685515
237313550,1.020453820844831 d,0.6518263352841047
36694741,7.746508625614846 d,0.15249659209726463
44195838,1.0483778362928844 d,0.04063393992124046
161291020,1.0296781912481967 d,0.05336657450945998
431472762,3.001123240442947 d,0.3731463163625981
444160759,1.006771977087714 d,0.13270234945583945
435825249,1.0331587871212964 d,0.01837827228870734
