bin,center,count,tp,tn,fp,fn,precision,recall,f1
"(0.999, 1.207]",1.103,7795,2645,3295,150,1705,0.9463327370304114,0.6080459770114942,0.7403778866340097
"(1.207, 1.509]",1.358,7684,3096,2991,139,1458,0.957032457496136,0.6798418972332015,0.7949672615226601
"(1.509, 1.905]",1.7069999999999999,7735,3566,2533,290,1346,0.924792531120332,0.7259771986970684,0.8134124087591242
"(1.905, 2.405]",2.155,7650,3371,2905,303,1071,0.9175285792052259,0.7588923908149482,0.8307047806801379
"(2.405, 2.898]",2.6515,7719,2760,3503,217,1239,0.9271078266711454,0.6901725431357839,0.7912844036697247
"(2.898, 3.545]",3.2215,7818,3103,3529,132,1054,0.9591962905718702,0.7464517681019966,0.8395562770562771
"(3.545, 4.177]",3.8609999999999998,7607,3078,3003,476,1050,0.8660664040517726,0.7456395348837209,0.8013538141109086
"(4.177, 4.744]",4.4605,7709,2794,3469,433,1013,0.8658196467307097,0.7339112161807197,0.7944270685243104
"(4.744, 5.362]",5.053,7797,3037,3241,311,1208,0.9071087216248507,0.7154299175500589,0.799947319899908
"(5.362, 5.947]",5.6545000000000005,7646,3038,3249,272,1087,0.9178247734138972,0.7364848484848485,0.8172158708809684
"(5.947, 6.427]",6.186999999999999,7829,3000,3032,832,965,0.7828810020876826,0.7566204287515763,0.7695267410542516
"(6.427, 6.86]",6.6434999999999995,7674,2812,3207,625,1030,0.8181553680535351,0.7319104633003644,0.7726336035169665
"(6.86, 7.217]",7.0385,7809,2237,3768,693,1111,0.763481228668942,0.6681600955794504,0.712647339917171
"(7.217, 7.549]",7.383,7674,2587,3088,1210,789,0.6813273637081907,0.7662914691943128,0.7213160462846786
"(7.549, 7.994]",7.7715,7901,2149,3811,939,1002,0.695919689119171,0.6820057124722311,0.6888924507132553
"(7.994, 8.466]",8.23,7530,2245,3287,776,1222,0.7431314134392585,0.647533890972022,0.6920468557336622
"(8.466, 8.866]",8.666,7592,1995,3332,1122,1143,0.6400384985563041,0.635755258126195,0.6378896882494006
"(8.866, 9.243]",9.0545,8019,2084,3413,1501,1021,0.5813110181311019,0.6711755233494364,0.6230194319880419
"(9.243, 9.679]",9.461,7436,2316,3361,615,1144,0.7901740020470829,0.669364161849711,0.7247692066969176
"(9.679, 10.0]",9.839500000000001,7660,2336,3217,872,1235,0.7281795511221946,0.6541584990198824,0.6891871957515858
