bin,center,count,tp,tn,fp,fn,precision,recall,f1
"(0.372, 0.517]",0.4445,7716,1278,3265,593,2580,0.6830571886691609,0.3312597200622084,0.4461511607610403
"(0.517, 0.561]",0.539,7714,1385,3283,574,2472,0.7069933639612047,0.3590873736064299,0.47627235213204955
"(0.561, 0.606]",0.5835,7714,1569,3261,596,2288,0.7247113163972286,0.406792844179414,0.5210893390900032
"(0.606, 0.657]",0.6315,7714,1765,3246,611,2092,0.7428451178451179,0.4576095410941146,0.5663404460131558
"(0.657, 0.714]",0.6855,7714,2037,3272,585,1820,0.7768878718535469,0.5281306715063521,0.6288007408550702
"(0.714, 0.777]",0.7455,7714,2376,3257,600,1481,0.7983870967741935,0.6160228156598393,0.6954485584662666
"(0.777, 0.848]",0.8125,7714,2638,3260,597,1219,0.8154559505409583,0.6839512574539798,0.7439368302312465
"(0.848, 0.931]",0.8895,7714,2833,3238,619,1024,0.820683661645423,0.7345086855068707,0.7752086468737174
"(0.931, 1.027]",0.979,7714,3020,3248,609,837,0.8321851749793332,0.7829919626652839,0.8068394336094042
"(1.027, 1.136]",1.0815,7714,3094,3248,609,763,0.8355387523629489,0.8021778584392014,0.8185185185185185
"(1.136, 1.262]",1.1989999999999998,7714,3133,3253,604,724,0.8383730264918384,0.8122893440497796,0.8251250987621807
"(1.262, 1.414]",1.338,7714,3196,3279,578,661,0.8468468468468469,0.8286232823437905,0.837635958589962
"(1.414, 1.591]",1.5025,7714,3193,3263,594,664,0.8431476102455769,0.8278454757583614,0.8354264782836212
"(1.591, 1.805]",1.698,7716,3262,3281,577,596,0.849700442823652,0.8455158113011924,0.8476029621930622
"(1.805, 2.06]",1.9325,7714,3213,3250,607,644,0.8410994764397905,0.8330308529945554,0.8370457209847597
"(2.06, 2.389]",2.2245,7714,3244,3287,570,613,0.8505506030414264,0.841068187710656,0.8457828184069874
"(2.389, 2.789]",2.589,7714,3267,3237,620,590,0.8404939542063288,0.8470313715322789,0.84375
"(2.789, 3.315]",3.052,7714,3224,3279,578,633,0.8479747501315097,0.835882810474462,0.8418853636244941
"(3.315, 3.993]",3.654,7714,3257,3288,569,600,0.8512807109252483,0.844438682914182,0.8478458935311727
"(3.993, 7.433]",5.713,7714,3265,3239,618,592,0.8408447077002318,0.8465128338086596,0.8436692506459947
