bin,center,count,tp,tn,fp,fn,precision,recall,f1
"(-0.00099999999835, 8.28e-09]",-0.000499995859175,7716,2366,3243,615,1492,0.7936933914793693,0.6132711249351996,0.691914022517912
"(8.28e-09, 1.64e-08]",1.234e-08,7714,2329,3231,626,1528,0.7881556683587141,0.6038371791547835,0.6837933059307104
"(1.64e-08, 2.45e-08]",2.045e-08,7714,2349,3262,595,1508,0.7978940217391305,0.6090225563909775,0.6907807675341862
"(2.45e-08, 3.25e-08]",2.85e-08,7714,2369,3304,553,1488,0.8107460643394935,0.6142079336271714,0.6989231450066382
"(3.25e-08, 4.09e-08]",3.6700000000000004e-08,7714,2364,3277,580,1493,0.8029891304347826,0.6129115893181228,0.6951918835465373
"(4.09e-08, 4.91e-08]",4.5000000000000006e-08,7714,2351,3261,596,1506,0.7977604343400068,0.6095410941145968,0.6910640799529688
"(4.91e-08, 5.73e-08]",5.32e-08,7714,2318,3267,590,1539,0.7971114167812929,0.6009852216748769,0.6852919438285291
"(5.73e-08, 6.55e-08]",6.14e-08,7714,2311,3295,562,1546,0.8043856595892795,0.599170339642209,0.6867756315007431
"(6.55e-08, 7.37e-08]",6.96e-08,7714,2356,3264,593,1501,0.7989148864021702,0.6108374384236454,0.6923302967969438
"(7.37e-08, 8.25e-08]",7.81e-08,7714,2418,3229,628,1439,0.793827971109652,0.6269121078558465,0.7005649717514124
"(8.25e-08, 9.21e-08]",8.73e-08,7714,2569,3299,558,1288,0.8215542053086025,0.6660617059891107,0.7356815578465062
"(9.21e-08, 1.04e-07]",9.805000000000001e-08,7714,2743,3262,595,1114,0.8217495506291193,0.711174487943998,0.7624739402362753
"(1.04e-07, 1.19e-07]",1.115e-07,7714,2925,3258,599,932,0.8300227014755959,0.7583614207933627,0.7925755317707627
"(1.19e-07, 1.36e-07]",1.275e-07,7716,3132,3222,636,726,0.8312101910828026,0.8118195956454122,0.8214004720692368
"(1.36e-07, 1.58e-07]",1.47e-07,7714,3151,3266,591,706,0.84206306787814,0.8169561835623541,0.8293196473220161
"(1.58e-07, 1.87e-07]",1.725e-07,7714,3217,3226,631,640,0.8360187110187111,0.8340679284417941,0.8350421804023361
"(1.87e-07, 2.27e-07]",2.07e-07,7714,3224,3290,567,633,0.8504352413611185,0.835882810474462,0.8430962343096234
"(2.27e-07, 2.84e-07]",2.5550000000000003e-07,7714,3243,3273,584,614,0.847400052260256,0.8408089188488462,0.8440916189484642
"(2.84e-07, 3.85e-07]",3.3450000000000004e-07,7714,3263,3262,595,594,0.845775012960083,0.8459942960850402,0.8458846403110822
"(3.85e-07, 9.4e-07]",6.625e-07,7714,3251,3243,614,606,0.8411384217335058,0.8428830697433238,0.8420098420098421
