bin,center,count,tp,tn,fp,fn,precision,recall,f1
"(-0.0009999999999990511, 9.15e-12]",-0.0004999999954245256,10286,3096,4319,824,2047,0.789795918367347,0.601983278242271,0.6832174776564052
"(9.15e-12, 1.82e-11]",1.3675e-11,10286,3113,4317,826,2030,0.7903021071337903,0.6052887419793894,0.6855318211847611
"(1.82e-11, 2.71e-11]",2.265e-11,10286,3061,4392,751,2082,0.80299055613851,0.5951779117246743,0.6836404243439419
"(2.71e-11, 3.63e-11]",3.17e-11,10286,3094,4355,788,2049,0.7970118495620814,0.6015944001555512,0.6856509695290859
"(3.63e-11, 4.57e-11]",4.1e-11,10284,3145,4343,799,1997,0.7974137931034483,0.6116297160637885,0.6922738278670482
"(4.57e-11, 5.65e-11]",5.1099999999999997e-11,10286,3349,4386,757,1794,0.8156356551388212,0.6511763562123274,0.7241863985295707
"(5.65e-11, 6.93e-11]",6.29e-11,10286,3557,4354,789,1586,0.8184537505752416,0.691619677231188,0.7497101907471809
"(6.93e-11, 8.53e-11]",7.730000000000001e-11,10286,3676,4333,810,1467,0.8194382523406153,0.714757923391017,0.7635268459860837
"(8.53e-11, 1.05e-10]",9.515e-11,10284,3741,4320,822,1401,0.8198553583168968,0.7275379229871646,0.7709428129829986
"(1.05e-10, 1.31e-10]",1.18e-10,10286,3927,4312,831,1216,0.8253467843631778,0.7635621232743535,0.7932532067467932
"(1.31e-10, 1.66e-10]",1.485e-10,10286,3985,4360,783,1158,0.8357802013422819,0.7748395877892281,0.8041569972757542
"(1.66e-10, 2.17e-10]",1.915e-10,10286,4031,4411,732,1112,0.8463153474700819,0.7837837837837838,0.8138501918029478
"(2.17e-10, 2.99e-10]",2.58e-10,10284,4097,4336,806,1045,0.8356108504996941,0.7967716841695838,0.8157292185166749
"(2.99e-10, 4.81e-10]",3.9e-10,10286,4132,4358,785,1011,0.8403498067927598,0.8034221271631343,0.8214711729622267
"(4.81e-10, 3.45e-09]",1.9655e-09,10286,4245,4338,805,898,0.8405940594059406,0.8253937390628038,0.8329245560678897
