bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.373296, 0.433521)",0.40228293490789063,302,30,131,20,121,0.6,0.1986754966887417,0.29850746268656714
"[0.433521, 0.503462)",0.4671841689857702,5140,878,2170,400,1692,0.6870109546165885,0.3416342412451362,0.45634095634095634
"[0.503462, 0.584686)",0.5425560689043377,14214,2590,6024,1083,4517,0.7051456575006806,0.3644294357675531,0.48051948051948046
"[0.584686, 0.679015)",0.6300878913426847,14436,3316,6102,1116,3902,0.7481949458483754,0.4594070379606539,0.5692703862660944
"[0.679015, 0.788562)",0.7317414246575701,13498,4025,5692,1057,2724,0.7920110192837465,0.5963846495777152,0.6804158566477896
"[0.788562, 0.915783)",0.8497949570477916,12768,4540,5395,989,1844,0.8211249773919335,0.7111528822055138,0.7621925627465794
"[0.915783, 1.06353)",0.9868943382039636,11718,4581,4932,927,1278,0.8316993464052288,0.7818740399385561,0.8060174188440222
"[1.06353, 1.23511)",1.1461122788520672,11198,4517,4722,877,1082,0.8374119391916944,0.8067512055724236,0.821795688165196
"[1.23511, 1.43437)",1.331017217229186,10218,4224,4333,776,885,0.8448,0.8267762771579565,0.8356909684439608
"[1.43437, 1.66578)",1.5457532959466653,9634,4015,4091,726,802,0.8468677494199536,0.8335063317417479,0.8401339192299644
"[1.66578, 1.93453)",1.7951332417051367,8894,3729,3766,681,718,0.845578231292517,0.8385428378682258,0.8420458394490234
"[1.93453, 2.24663)",2.0847462295082706,8190,3443,3454,641,652,0.8430460333006856,0.8407814407814408,0.8419122142071158
"[2.24663, 2.60908)",2.421083148859008,7594,3211,3206,591,586,0.8445554971067859,0.8456676323413221,0.8451111988419528
"[2.60908, 3.03001)",2.8116820794402573,7028,2949,2979,535,565,0.8464408725602756,0.8392145702902675,0.8428122320663047
"[3.03001, 3.51885)",3.265297236722814,6544,2741,2771,501,531,0.8454657618753856,0.8377139364303179,0.841571998771876
"[3.51885, 4.08656)",3.7920951739580184,6112,2580,2610,446,476,0.85261070720423,0.8442408376963351,0.848405129891483
"[4.08656, 4.74585)",4.403882637890583,5102,2166,2154,397,385,0.8451033944596177,0.849078792630341,0.8470864294094642
"[4.74585, 5.51151)",5.1143711849593005,1458,602,597,132,127,0.8201634877384196,0.8257887517146777,0.8229665071770336
"[5.51151, 6.40069)",5.93948448863997,200,95,88,12,5,0.8878504672897196,0.95,0.9178743961352657
"[6.40069, 7.43333)",6.897715225391008,36,17,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444
