bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[5.76181e+08, 2.12718e+09)",1351679208.2593389,13460,4809,1921,4809,1921,0.5,0.7145616641901932,0.5883288475654513
"[2.12718e+09, 3.67817e+09)",2902675798.4678636,17042,6128,2393,6128,2393,0.5,0.7191644173219106,0.5898830437503009
"[3.67817e+09, 5.22917e+09)",4453672388.676388,17222,6109,2502,6109,2502,0.5,0.7094414121472535,0.586586009890057
"[5.22917e+09, 6.78017e+09)",6004668978.8849125,17228,6103,2511,6103,2511,0.5,0.7084977942883678,0.5862632084534102
"[6.78017e+09, 8.33116e+09)",7555665569.093437,17164,6072,2510,6072,2510,0.5,0.7075273828944302,0.5859307150439061
"[8.33116e+09, 9.88216e+09)",9106662159.301962,16910,5978,2477,5978,2477,0.5,0.707037256061502,0.5857625790015188
"[9.88216e+09, 1.14332e+10)",10657658749.510487,17002,5985,2516,5985,2516,0.5,0.7040348194330078,0.5847296175076938
"[1.14332e+10, 1.29842e+10)",12208655339.719013,16470,5717,2518,5717,2518,0.5,0.6942319368548877,0.5813208602369211
"[1.29842e+10, 1.45352e+10)",13759651929.927536,14558,4910,2369,4910,2369,0.5,0.6745432064844072,0.5743025907947833
"[1.45352e+10, 1.60861e+10)",15310648520.136063,5974,2056,931,2056,931,0.5,0.6883160361566789,0.5792365121848148
"[1.60861e+10, 1.76371e+10)",16861645110.344585,1108,357,197,357,197,0.5,0.644404332129964,0.5630914826498423
"[1.76371e+10, 1.91881e+10)",18412641700.55311,146,25,48,25,48,0.5,0.3424657534246575,0.40650406504065034
