bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.01, 0.0175)",0.013750000000000002,116084,45432,12610,45432,12610,0.5,0.7827435305468454,0.6102104683491598
"[0.0175, 0.025)",0.02125,11742,3069,2802,3069,2802,0.5,0.5227388860500767,0.5111166625031226
"[0.025, 0.0325)",0.02875,8342,2217,1954,2217,1954,0.5,0.5315272116998322,0.515281812899477
"[0.0325, 0.04)",0.036250000000000004,3642,897,924,897,924,0.5,0.4925864909390445,0.4962655601659751
"[0.04, 0.0475)",0.043750000000000004,2826,564,849,564,849,0.5,0.3991507430997877,0.44391971664698937
"[0.0475, 0.055)",0.051250000000000004,2706,391,962,391,962,0.5,0.28898743532889876,0.36627634660421543
"[0.055, 0.0625)",0.058750000000000004,1600,232,568,232,568,0.5,0.29,0.36708860759493667
"[0.0625, 0.07)",0.06625,1022,178,333,178,333,0.5,0.34833659491193736,0.41061130334486734
"[0.07, 0.0775)",0.07375000000000001,932,182,284,182,284,0.5,0.3905579399141631,0.43855421686746987
"[0.0775, 0.085)",0.08125,1024,235,277,235,277,0.5,0.458984375,0.4786150712830957
"[0.085, 0.0925)",0.08875,1250,132,493,132,493,0.5,0.2112,0.296962879640045
"[0.0925, 0.1)",0.09625,3114,720,837,720,837,0.5,0.4624277456647399,0.4804804804804805
