bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[90, 90)",89.9999998103182,2,1,0,1,0,0.5,1.0,0.6666666666666666
"[90, 90)",89.99999982681227,8,4,0,4,0,0.5,1.0,0.6666666666666666
"[90, 90)",89.99999984330634,40,17,3,17,3,0.5,0.85,0.6296296296296295
"[90, 90)",89.9999998598004,78,32,7,32,7,0.5,0.8205128205128205,0.6213592233009708
"[90, 90)",89.99999987629445,160,64,16,64,16,0.5,0.8,0.6153846153846154
"[90, 90)",89.99999989278852,260,104,26,104,26,0.5,0.8,0.6153846153846154
"[90, 90)",89.9999999092826,478,204,35,204,35,0.5,0.8535564853556485,0.6306027820710973
"[90, 90)",89.99999992577665,918,387,72,387,72,0.5,0.8431372549019608,0.6277372262773722
"[90, 90)",89.99999994227072,1700,712,138,712,138,0.5,0.8376470588235294,0.6262093227792436
"[90, 90)",89.99999995876479,4010,1660,345,1660,345,0.5,0.827930174563591,0.6234741784037559
"[90, 90)",89.99999997525885,13978,5625,1364,5625,1364,0.5,0.8048361711260552,0.6168101321344371
"[90, 90)",89.9999999917529,132652,45439,20887,45439,20887,0.5,0.6850857883786147,0.5780896160403043
