bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[0.0679371, 0.122675)",0.09129160088653358,24,6,6,6,6,0.5,0.5,0.5
"[0.122675, 0.221515)",0.16484615939999564,826,261,152,261,152,0.5,0.6319612590799032,0.5582887700534759
"[0.221515, 0.399992)",0.29766436347965547,12054,4579,1448,4579,1448,0.5,0.7597478015596483,0.6030951596970694
"[0.399992, 0.722269)",0.5374955267884195,44842,15457,6964,15457,6964,0.5,0.689398331920967,0.5796193868941596
"[0.722269, 1.30421)",0.9705610639457896,78016,30562,8446,30562,8446,0.5,0.783480311730927,0.6104342268205968
"[1.30421, 2.35502)",1.7525518481540567,8306,976,3177,976,3177,0.5,0.2350108355405731,0.3197379197379197
"[2.35502, 4.25249)",3.164600450775711,2988,798,696,798,696,0.5,0.5341365461847389,0.516504854368932
"[4.25249, 7.67876)",5.7143507757549115,2320,726,434,726,434,0.5,0.6258620689655172,0.555895865237366
"[7.67876, 13.8656)",10.318460512247794,1048,304,220,304,220,0.5,0.5801526717557252,0.5371024734982331
"[13.8656, 25.0373)",18.63214764388548,600,226,74,226,74,0.5,0.7533333333333333,0.6010638297872339
"[25.0373, 45.21)",33.644255885989914,736,214,154,214,154,0.5,0.5815217391304348,0.5376884422110553
"[45.21, 81.6362)",60.75177031422,678,140,199,140,199,0.5,0.41297935103244837,0.4523424878836833
