bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[1, 1.75)",1.375,23644,7835,3987,7835,3987,0.5,0.6627474200642869,0.5699839953441
"[1.75, 2.5)",2.125,14482,5352,1889,5352,1889,0.5,0.7391244303273029,0.5964892727779325
"[2.5, 3.25)",2.875,10780,3984,1406,3984,1406,0.5,0.7391465677179963,0.596496481509208
"[3.25, 4)",3.625,9984,3646,1346,3646,1346,0.5,0.7303685897435898,0.5936177140996418
"[4, 4.75)",4.375,9876,3626,1312,3626,1312,0.5,0.7343053867962738,0.5949138638228056
"[4.75, 5.5)",5.125,10364,3744,1438,3744,1438,0.5,0.7225009648784253,0.5910023677979479
"[5.5, 6.25)",5.875,10844,4005,1417,4005,1417,0.5,0.7386573220213943,0.5963371054198928
"[6.25, 7)",6.625,13292,4929,1717,4929,1717,0.5,0.7416491122479687,0.5973097430925837
"[7, 7.75)",7.375,13994,5025,1972,5025,1972,0.5,0.7181649278262112,0.589546547779668
"[7.75, 8.5)",8.125,10940,3487,1983,3487,1983,0.5,0.6374771480804388,0.5604307296689168
"[8.5, 9.25)",8.875,12022,3964,2047,3964,2047,0.5,0.659457660954916,0.5687638998493436
"[9.25, 10)",9.625,14062,4652,2379,4652,2379,0.5,0.6616413028018774,0.5695745332108969
