ID,TIC ID,Periods,Powers
000,208712116,"[9.129140633885733, 1.010175143648284, 5.769176490803401, 2.410030128818746]","[1.1675813531988763, 0.5499345942058401, 0.5447000128713321, 0.5149786440969999]"
010,462513335,"[1.1253680405856281, 7.168002425742311, 4.409177641494746, 1.8460492484781716]","[0.6999401936155683, 0.3112068787126716, 0.2968931264804473, 0.2824941835129428]"
002,241160001,"[6.617793918574526, 9.988757740413416, 1.014730600331042, 4.5451438274629705]","[0.8046786749613233, 0.41560046177884385, 0.37494044102808316, 0.3661157388722592]"
001,10494697,"[3.239687911497362, 1.3143478158191166, 9.180630245938502, 1.8009259151735204]","[0.02499762183450222, 0.009789598547244207, 0.008339680161167224, 0.008159334139032495]"
003,451507703,"[5.484416576121018, 3.6050604794714958, 1.050739044499817, 9.977528119666887]","[0.043338362463869025, 0.020887505988418792, 0.020021328179564393, 0.019348067439551853]"
004,419841161,"[2.2782243148815224, 1.0022522492608983, 5.184470952146292, 3.2726522013724573]","[0.07556870729165671, 0.033220032646965096, 0.03179063252316096, 0.030608447123962997]"
011,88484968,"[9.788544602776584, 7.056004784922943, 3.975701560524048, 2.6908990839671945]","[25.186875371800205, 10.642091214267584, 8.953085717475723, 7.836350512132535]"
012,361722723,"[9.988757740413416, 1.119056408129678, 3.5328011967135122, 2.0658332412324745]","[0.8099858215051915, 0.44163840466231796, 0.42761301782655675, 0.3808528884579705]"
013,456645161,"[5.006801021822285, 1.1548631729299907, 2.882020845603354, 1.7827858134277699]","[0.4535520866399375, 0.23186924049935498, 0.2302415405437289, 0.20994933262636536]"
014,1968420005,"[9.305393301998265, 4.732976443443897, 3.682938195376764, 6.485147865971703]","[7.093503360210562, 2.4970732876364523, 2.4689811205450285, 1.9197850230070828]"
020,355940343,"[5.284565459911452, 1.1758362610195754, 3.783719260586343, 2.7989529836595937]","[0.1501679828824099, 0.07530502503254063, 0.054262401421184214, 0.04889140573990365]"
021,1358161131,"[7.430717946143555, 5.552699261944095, 9.581560544054659, 3.5929154357632718]","[1929.9641368699201, 888.8507032053004, 774.9803297509935, 634.4074280655933]"
022,4040541,"[1.823348000868441, 3.214278748212881, 1.0710252431147989, 4.9675322316882395]","[9.678423106798158, 5.031225158149576, 3.884238167844552, 3.547940343617303]"
023,51813081,"[8.514157323206486, 4.878927640609624, 1.020453820844831, 1.3292158325925447]","[0.6713004206644667, 0.32214649653801486, 0.2864593353762365, 0.20804803819653514]"
024,1493804858,"[1.4462204206909066, 2.5812031046320874, 1.0227521372086095, 5.16119617080254]","[0.8265510455068665, 0.4353438207397089, 0.28131913719773705, 0.27150864725994145]"
030,801337988,"[9.047357242349298, 5.847578525376049, 1.0022522492608983, 3.913582553172504]","[0.8272316799757308, 0.4728288149006511, 0.3761287340718621, 0.36151907037514197]"
031,192767630,"[3.6010075768979397, 1.197190234424688, 7.2003270426740285, 1.8009259151735204]","[0.2169311548508433, 0.10792199375694954, 0.0822948010243446, 0.07603930087432208]"
032,1360104,"[6.014354975200878, 1.4478481291418832, 3.228773766919153, 1.1470950713891142]","[0.7962528726213323, 0.41045741811975917, 0.34922045132885293, 0.3352167882224838]"
033,4040541,"[1.823348000868441, 3.214278748212881, 1.0710252431147989, 4.9675322316882395]","[9.678423106798158, 5.031225158149576, 3.884238167844552, 3.547940343617303]"
034,171731624,"[3.9312311321416797, 2.3353066602667605, 6.2770098331558035, 8.057572117733786]","[0.04763889090043314, 0.023736110155834544, 0.02372443831927223, 0.021497022882195533]"
040,425858182,"[5.8739485967828475, 1.9201779371052483, 2.5351628506569153, 4.186833460972433]","[1.3216125841835058, 0.6289484385931854, 0.5857045474716781, 0.5733426083261887]"
041,444045724,"[6.130471721986478, 1.4758011540778546, 4.414140132416765, 1.0929318015577605]","[0.054709859717297506, 0.026955959798028423, 0.02346599359671043, 0.02256988803364149]"
042,345265261,"[1.7216903932435348, 1.2536966829313323, 4.534930034644218, 2.7459382517421793]","[1.2028948486120363, 0.7424635692970465, 0.6662007803326633, 0.5662638417441725]"
043,370329413,"[8.856045990398986, 1.1355407808257278, 6.945757069787762, 2.1633389644771293]","[0.2383226352190469, 0.11079200887167862, 0.10426471985785501, 0.09307896789946532]"
044,419411618,"[3.254297514633291, 1.3217609187444603, 5.533992842004971, 2.52378167761834]","[0.8864977611010647, 0.4960113143211895, 0.42075901941006894, 0.3946043064856239]"
100,953067449,"[7.087824340524919, 10.0, 4.330532277217997, 2.3617238522596624]","[1266.3634098727753, 603.8986306964905, 544.4215265631215, 468.02435788502964]"
101,349673322,"[1.0343215983117198, 1.7450878451935061, 3.4972165162910995, 4.818930463107051]","[0.0932614025341032, 0.05367210561613592, 0.045655095463400575, 0.04212075472613926]"
102,411238467,"[4.025200276899015, 1.8690331336550552, 1.201237067138706, 2.660799884322549]","[0.5706838477939963, 0.25087144921586346, 0.24829467887876477, 0.22808157782314892]"
103,229797408,"[2.660799884322549, 1.5161854354465176, 3.4002396405894286, 4.622484115621225]","[0.005232689399061229, 0.0026723391361825983, 0.002550962666733822, 0.002523467816390379]"
104,183984307,"[5.103465327280478, 6.262904211773761, 2.706076125866663, 1.961658259758634]","[0.15197408650796915, 0.07017114680097082, 0.06844509800152905, 0.06634276785895044]"
110,235612536,"[4.934118494296797, 2.079823016609139, 3.8524341345373414, 9.180630245938502]","[1.077575446953753, 0.5470870204801572, 0.4513123060689264, 0.44651265234927673]"
111,401403129,"[1.0880252741724814, 1.3966589738723192, 1.8669319180886075, 2.33268124789786]","[0.3325932452507855, 0.23138631400820225, 0.226369466568467, 0.21320279682561344]"
