ID,TIC ID,Periods,Powers
144456191,144456191,"[9.474385471811676, 1.0135898138491046, 2.9015378247360943, 2.0774848255844516]","[0.1154727472714545, 0.053691730905679406, 0.04794422728878138, 0.04681815176522472]"
441055500,441055500,"[8.846089793605502, 1.0158726707582002, 1.474142020110622, 4.007129839785107]","[0.1823813976244894, 0.08510039971806962, 0.08460040329961549, 0.07293505303555713]"
422790055,422790055,"[8.542937519867884, 1.6147653752192963, 2.1633389644771293, 5.472092060821467]","[0.9352223129208449, 0.42665583663623535, 0.3147293731471784, 0.3008348493799732]"
177500431,177500431,"[7.439081154285771, 5.647184140151919, 2.404614337953345, 4.359858542576922]","[0.17998225920455918, 0.08194804737327796, 0.07733018186418023, 0.059784504021967194]"
291688847,291688847,"[5.057745941437701, 3.1890688712783364, 1.6645600324442402, 1.0296781912481967]","[0.06772073247734077, 0.030595349808584825, 0.029318798818635992, 0.027965485796403608]"
183984307,183984307,"[5.103465327280478, 6.262904211773761, 2.706076125866663, 1.961658259758634]","[0.15197408650796915, 0.07017114680097082, 0.06844509800152905, 0.06634276785895044]"
77041172,77041172,"[5.900437585902844, 9.722702682976811, 1.2120956238153486, 2.9509104694720523]","[0.2309338728419971, 0.09797662124012978, 0.08146803847302804, 0.07803976502881138]"
34035509,34035509,"[1.206654131159219, 1.8009259151735204, 5.404800618343236, 3.250638948890142]","[0.2238329586949953, 0.09313885552320869, 0.08833897527869235, 0.08088314490996087]"
34015812,34015812,"[7.97641099011165, 9.777540066836655, 1.7767798083275017, 1.365588907674357]","[0.48893821982358265, 0.16849954817327006, 0.15190103521521456, 0.15167387426471485]"
248601764,248601764,"[7.913851282260592, 2.217542785035531, 1.4675241156986958, 5.749740783402583]","[0.5749637020292538, 0.2553729476620499, 0.24073602319716786, 0.22097516250045218]"
33986466,33986466,"[2.9146225159968915, 1.028520600296531, 3.861110776469512, 1.2452637851104047]","[0.1389879889387376, 0.06745825912181307, 0.0647107919965518, 0.06043074597843395]"
129633313,129633313,"[3.813629902458436, 1.2693055951154941, 7.159943971343564, 8.836144789826907]","[0.12491702818744627, 0.0650991163587701, 0.051364299469737584, 0.05087829459584679]"
396194119,396194119,"[9.538545793146955, 1.107784541290697, 2.492746214819205, 3.3811693790398087]","[0.07675182293129704, 0.03487800933545844, 0.029669179627104532, 0.029142061687230582]"
144382040,144382040,"[8.504585486527635, 3.1926581404369383, 6.617793918574526, 1.568223342927993]","[0.7959522092290716, 0.36342683437624534, 0.33335309968721466, 0.3260757345693548]"
144376819,144376819,"[7.032233897581025, 4.586229557502552, 1.005640137896622, 9.943914948458412]","[0.28934466661851527, 0.11591351392248136, 0.11213031331899896, 0.1072440608961024]"
431422583,431422583,"[2.856202266540472, 9.854832402548652, 1.4268300657036879, 7.143854230931982]","[2.9886373431947932, 1.8794297739595813, 1.8247970705341674, 1.4040958941900021]"
2053342742,2053342742,"[5.314371137829077, 2.396513462419588, 1.3919537867111738, 3.5929154357632718]","[2.174926742564988, 0.9776633146908755, 0.8734682950359912, 0.8585892880894315]"
2733719,2733719,"[6.640163884645277, 1.0686184480050973, 2.7152234084604294, 1.5841802407148773]","[1.5669396645126927, 0.7630714835803971, 0.6616830822904625, 0.6534936223806647]"
288144896,288144896,"[7.127800647192513, 2.2603559969456923, 1.696697027449312, 4.301403272809512]","[0.00431414783756064, 0.002183611635268301, 0.0016651793407979273, 0.0016415072918792655]"
325219117,325219117,"[7.25724627708414, 1.4397278654471521, 1.0378178901795485, 4.084493893430413]","[0.5083493677263319, 0.26509249529752793, 0.23990206124770702, 0.22818853421472465]"
327831847,327831847,"[1.4592934991319475, 1.020453820844831, 9.788544602776584, 3.8308277378377316]","[0.13934626762568486, 0.07754308310454733, 0.06569083331035439, 0.06528305058131287]"
186893986,186893986,"[1.2148255652882247, 2.6369631128818805, 4.717031577580219, 1.8151623968935142]","[0.6063057599831478, 0.2743172826194422, 0.24227830947193596, 0.23308424932026367]"
345142414,345142414,"[9.603140606708259, 6.617793918574526, 2.442781989640126, 4.884418831052454]","[59.11025403761395, 12.740740487536186, 12.513550601868822, 12.31948157731438]"
2055273342,2055273342,"[7.000663905611724, 1.351833804524712, 4.923030602261473, 2.185351249200614]","[0.3509226658273682, 0.17430108927078403, 0.16659749140101668, 0.15805088405377835]"
277938251,277938251,"[1.618402229342158, 4.748975207345615, 7.994375855868748, 1.2793395702777688]","[0.0794447952076937, 0.03605795217810921, 0.03141415405472098, 0.030237345894659692]"
336678031,336678031,"[8.92605383236043, 2.6310373609303297, 3.3887846152747225, 1.479125026136359]","[0.5426383458309182, 0.23772580581424962, 0.2074596049349897, 0.20350925924408958]"
66419115,66419115,"[1.2410686313301689, 2.175540494553916, 1.5524271734347945, 3.1111178535962187]","[0.6143137853323252, 0.411566899016613, 0.3090198509301521, 0.2596522580633197]"
8988748,8988748,"[6.798885287766829, 1.4300436426645964, 2.558079400812954, 8.916018930933708]","[0.007928212157365059, 0.0039028163913367078, 0.0036426105955133675, 0.002946351148928968]"
224270521,224270521,"[9.921569101781975, 1.464226313067302, 1.8669319180886075, 4.732976443443897]","[0.12784192966277586, 0.06469218138911557, 0.06393861162435058, 0.05745477948216208]"
434105262,434105262,"[1.3457649815910278, 1.6552243389228702, 5.980623434323524, 2.696959659440211]","[0.43422038392865997, 0.22660341088256516, 0.22319439056139212, 0.14643733735949452]"
398573783,398573783,"[9.966311123551513, 3.5367773336019437, 2.26544688206918, 1.2923570341802788]","[0.46053013303706214, 0.20905650520765504, 0.20660421614694038, 0.2048405063932232]"
402339032,402339032,"[4.519652364880253, 2.6488546856554693, 5.730370552716295, 8.996615092624065]","[0.008380016333846572, 0.004524254949289158, 0.0041756071183766275, 0.0032652742218635625]"
402027326,402027326,"[4.052458840947635, 2.6908990839671945, 1.1626838798765173, 6.376642743583472]","[0.010064285655584006, 0.004898584377031469, 0.004483561046330354, 0.004368070170072025]"
28579069,28579069,"[8.629863136310853, 1.0978604552773759, 6.130471721986478, 4.439036491458609]","[0.3533597897628323, 0.1334292797232423, 0.1275993082034485, 0.12498996436203161]"
2055059079,2055059079,"[7.896067370361691, 6.2347879917290605, 2.6310373609303297, 3.670530790393618]","[41.596782923300985, 20.227153175516854, 17.34504096279314, 14.572353864530589]"
333224807,333224807,"[5.320352416124497, 3.3059519076322945, 1.101571525981171, 1.862736571023272]","[0.01742295464412903, 0.008244688288511055, 0.008012575754726671, 0.007693421104801132]"
405170915,405170915,"[6.130471721986478, 4.732976443443897, 1.028520600296531, 3.3471120332941404]","[0.49793762289655, 0.24794270464265333, 0.23864576513658625, 0.2223855414020674]"
25769850,25769850,"[7.97641099011165, 2.9608853595777465, 3.5647358772784394, 2.0040346541427585]","[0.4742464496014608, 0.23777278263029822, 0.22884977728847145, 0.2145088239992911]"
422526868,422526868,"[2.217542785035531, 1.0022522492608983, 4.399269390262036, 1.2438638272378062]","[0.03912792844900962, 0.01672962349832025, 0.014374558281842292, 0.013020732900389454]"
354308207,354308207,"[1.6238728746062236, 3.4580982086772716, 9.988757740413416, 4.219930756940908]","[0.3164511871039978, 0.16580530241932373, 0.15818280074350327, 0.14876017730250235]"
435231234,435231234,"[2.687873905364868, 6.434284268751216, 9.149701734131035, 1.9793906274789632]","[0.12935659078190495, 0.06152845694361516, 0.05389891375454271, 0.05283042210397187]"
435229564,435229564,"[3.4194174610439134, 1.0746456034107201, 8.717673233387845, 4.934118494296797]","[0.15049725193415403, 0.07947189587419973, 0.06752931913477567, 0.06437074793211056]"
9143444,9143444,"[9.877027941543568, 1.0880252741724814, 1.7101095704152025, 2.3458378918048686]","[0.033387821472090205, 0.01771429229650762, 0.014885410845788666, 0.014016873167922283]"
435210243,435210243,"[3.6787977406533865, 2.38039349223046, 6.144279072391281, 9.86592393033729]","[0.5249234856319117, 0.2627977756278864, 0.23333915534393346, 0.20779295508382978]"
243135276,243135276,"[5.178642435319978, 2.777000544001749, 2.1319342924825264, 1.1419453874168226]","[0.2788904982611018, 0.13654352531879888, 0.11078448209133127, 0.10339398439383059]"
381923120,381923120,"[10.0, 2.4815554638957447, 5.484416576121018, 1.2410686313301689]","[0.10375657521707855, 0.048392584687827436, 0.04658906312531913, 0.04507026067553557]"
422444008,422444008,"[4.306244464620969, 1.523022781542028, 8.17626499223867, 1.2134598268524854]","[0.04853494758993037, 0.0257886963896331, 0.022391256254492262, 0.02227170562434448]"
301256988,301256988,"[9.33684809418459, 3.171182962076805, 6.055084049290317, 1.101571525981171]","[0.40713871711269767, 0.1978224532660606, 0.1908680417887675, 0.15926766771561823]"
21331268,21331268,"[6.089235558303951, 3.1006368470975705, 1.489141626923219, 8.324751436300215]","[0.13372149769700792, 0.058427993378049714, 0.054455372107806134, 0.05259408421310305]"
362965390,362965390,"[4.900929511933481, 1.7767798083275017, 2.569615241874508, 6.580677987273042]","[0.146066092645075, 0.06412501792056571, 0.06097759764923588, 0.05715100082048709]"
435187907,435187907,"[9.253203955702533, 1.725568069159213, 3.716230036117517, 4.857024542863427]","[0.20636586164412649, 0.09640356056361357, 0.09299856391696017, 0.09270479534629121]"
4601217,4601217,"[3.8785227302283554, 3.0625076775362263, 9.389509204955607, 4.989933671719652]","[0.12928082144153574, 0.07287296852856727, 0.06882750768111895, 0.06281088707606208]"
97173520,97173520,"[1.6515047385959976, 2.396513462419588, 3.940085244553466, 9.242801263614771]","[0.48566831922860715, 0.24946793826932145, 0.21089463127720465, 0.2108072448289687]"
405173130,405173130,"[5.769176490803401, 2.285925340518241, 3.294814527096208, 1.62022372691479]","[0.00833079903132961, 0.004023552194967006, 0.003908610719804787, 0.0038746591529672876]"
90884697,90884697,"[5.109209232928354, 1.6626886908460208, 7.25724627708414, 1.2258069549021313]","[0.321636070030921, 0.15523106445704513, 0.14509979520547447, 0.12791131996752547]"
262568916,262568916,"[7.405684692262437, 4.3893834047329285, 1.365588907674357, 1.715890211749482]","[1.2645742372911504, 0.5465645379698548, 0.48668915598895646, 0.42154843584975243]"
455816370,455816370,"[7.464227297406345, 9.016877712317015, 1.3457649815910278, 1.7688032641600209]","[1227.8503971452096, 557.1560000704203, 288.8389500989107, 281.43529061281885]"
260795156,260795156,"[8.717673233387845, 3.2689730008140128, 6.588084482866515, 4.098300607712612]","[18.93508587634358, 9.258292375572488, 8.371766860299092, 6.374231102811421]"
268518702,268518702,"[2.733610839170548, 1.1368188220557747, 2.0704860126231797, 7.59978266041269]","[6.262018103593932, 3.6391706366177234, 3.6055276434008547, 3.2358260145968187]"
315301267,315301267,"[2.563840833252754, 4.1400014051099365, 1.6220472745670298, 5.782170114290804]","[0.46113995176739436, 0.20768099631102888, 0.1709774037454031, 0.1707833651881473]"
204328293,204328293,"[1.6645600324442402, 2.316990640368835, 1.0158726707582002, 4.701140428178148]","[0.0387644012450061, 0.014978865565253602, 0.014500135802110865, 0.013644338626406693]"
217978811,217978811,"[1.4592934991319475, 8.504585486527635, 1.051921642116359, 3.3849748556419277]","[0.21919095768447425, 0.10505987187420647, 0.08345296827361287, 0.07381276989377838]"
173387780,173387780,"[5.278624414241189, 1.1758362610195754, 8.504585486527635, 2.33268124789786]","[0.6490109623522592, 0.28569899674171334, 0.25066427231618005, 0.2409515491672583]"
217978865,217978865,"[3.766732910528805, 1.0746456034107201, 4.94523135902876, 2.6908990839671945]","[0.1344848627669259, 0.05357458522973814, 0.051156334388135716, 0.05019307652032279]"
