ID,TIC ID,Periods,Powers
000,411339897,"[1.0022522492608983, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[2315.591826957514, 1295.0955484310255, 763.9874059772437, 639.2071236669292]"
001,124598476,"[1.0, 1.9972832865565688, 10.0, 7.000663905611724]","[6840.5729151134365, 1200.8687413239006, 1057.3997135235, 991.4958852245577]"
002,91735009,"[1.0, 1.9972832865565688, 5.006801021822285, 3.989140526758209]","[4912.589446874101, 3176.4646267003473, 1207.60684241518, 935.1042133036128]"
003,471013569,"[1.0, 1.9972832865565688, 5.006801021822285, 3.989140526758209]","[1277.499013789717, 914.957053441994, 334.51630520123786, 332.8199746821167]"
004,219840114,"[1.0, 1.9972832865565688, 5.006801021822285, 3.989140526758209]","[1103.0150949644847, 644.1987108103244, 329.71846383533665, 324.08668253838505]"
010,333224807,"[3.001123240442947, 1.4958570170400662, 6.0008395886725205, 8.976398006847617]","[965.8719863015936, 501.9500164530481, 453.4856092648192, 319.8520498824842]"
011,51813081,"[3.0078825180430995, 6.0008395886725205, 1.4958570170400662, 8.996615092624065]","[955.1126165259451, 490.77403309169824, 460.90234471280854, 316.4350229318577]"
012,99730808,"[2.9876502192124885, 6.0008395886725205, 9.03718596848019, 1.4908176428169]","[592.2146874946935, 267.49644827757106, 218.9161651959488, 216.4470726717279]"
013,341687513,"[2.9876502192124885, 6.0008395886725205, 1.4908176428169, 9.03718596848019]","[264.71182371250717, 135.8341919786273, 93.50975737688476, 91.9594086442998]"
014,422975717,"[2.9876502192124885, 9.03718596848019, 3.7498228177378365, 5.006801021822285]","[133.80232068200343, 50.57580666344469, 45.91726652649554, 41.96206949936883]"
020,24441509,"[10.0, 5.0350400700063105, 3.7498228177378365, 1.6626886908460208]","[656.3103957018375, 427.6816745515129, 189.5993520602476, 178.00152952469767]"
021,99730808,"[5.006801021822285, 10.0, 2.50398743123016, 1.6626886908460208]","[354.7762814357853, 293.92464666180905, 143.14489599113088, 136.2740365655813]"
022,10183022,"[5.001172246143714, 9.932735741142663, 7.4978877614727955, 2.5011723835598163]","[155.01796136072488, 80.50492876906152, 68.14056042030657, 54.60365103357698]"
023,212254842,"[10.0, 5.001172246143714, 2.5068056472120674, 1.65895231671683]","[80.08367187752704, 60.88901049790236, 35.57219856918569, 32.85292036365967]"
024,135101534,"[4.9955497984808765, 9.977528119666887, 7.506326568655446, 2.5011723835598163]","[13.798175114792203, 6.844118215464188, 6.307604884571903, 4.650563608507891]"
030,345265261,"[7.000663905611724, 3.516941299697326, 2.340566352966317, 9.932735741142663]","[784.1347087397226, 357.2115178513967, 175.18985557255002, 120.48953680732409]"
031,22868366,"[7.000663905611724, 3.516941299697326, 2.340566352966317, 4.695855284073491]","[289.95237339227236, 60.27970410997546, 56.344002865783125, 41.07058975710261]"
032,380779964,"[7.000663905611724, 3.516941299697326, 2.8052569234483293, 9.877027941543568]","[177.8586688158025, 54.84087020901179, 34.03746828430775, 29.010786385548037]"
033,1754231033,"[8.148720074125308, 4.075315267630963, 1.3594583335955466, 2.3777173920746724]","[5891.750887908069, 2772.5084593764973, 2046.4131840914422, 1723.8841130082437]"
000,59320872,"[1.001125491265155, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[3932.963508164284, 2098.4603683848172, 1365.7861058013755, 975.8258238949055]"
034,297877352,"[7.000663905611724, 3.516941299697326, 2.2807884364479856, 9.368409212231564]","[0.8262718983406184, 0.24414356699533174, 0.24303609936383583, 0.22210699735479716]"
040,404722884,"[8.92605383236043, 4.499362171046914, 2.2502085215188754, 6.0008395886725205]","[273.14916715448175, 213.99179289606454, 162.15450445314661, 138.8177257252235]"
041,307982318,"[4.499362171046914, 9.027026129421198, 2.9876502192124885, 6.0008395886725205]","[121.69855948165704, 80.69369840165442, 76.08736472209448, 68.42712845942646]"
042,398573783,"[9.006740704326777, 4.499362171046914, 3.01126786354377, 2.2502085215188754]","[62.68004180292526, 40.331553938253315, 22.382318517717334, 21.172199495316992]"
043,299749573,"[8.92605383236043, 3.024847390221701, 1.8029528415602396, 6.640163884645277]","[5.3977063063801225, 1.2863483151087427, 1.247140412559844, 0.9382253469349415]"
044,205037919,"[9.538545793146955, 6.44152599949322, 1.5629401746836395, 3.805059958978154]","[3.792584858791881, 1.6721034608389362, 1.2907425873230487, 1.2848612650292799]"
100,1424358009,"[1.0022522492608983, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[1145.627674085768, 650.8369460541705, 516.4239813042701, 358.8132844167309]"
101,9532180,"[1.0, 1.9972832865565688, 3.001123240442947, 5.006801021822285]","[1456.1303437994586, 901.6614444905854, 411.680256777878, 344.2545026631499]"
102,390131308,"[1.0, 10.0, 2.00178166636252, 3.989140526758209]","[5536.913778764714, 818.8488903503912, 794.282179884604, 534.6939555192946]"
103,330101285,"[1.0, 1.9972832865565688, 5.006801021822285, 3.989140526758209]","[1373.4187770807462, 941.0805450669249, 406.5991492209665, 402.4332281109532]"
104,56885227,"[1.0022522492608983, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[103.18376485559185, 61.14937111457905, 36.439620794329734, 30.239985998535367]"
110,275185321,"[6.0008395886725205, 1.0, 2.9876502192124885, 4.499362171046914]","[512.354586702069, 349.725368105639, 292.04931843109944, 179.80709227012]"
111,237104515,"[6.0008395886725205, 1.0, 3.001123240442947, 4.499362171046914]","[2453.255233938531, 2250.5586697613944, 2018.4391473569692, 736.904011096095]"
112,103959618,"[2.9876502192124885, 6.0008395886725205, 1.5009134257360157, 9.03718596848019]","[346.71967623861434, 144.9122051121791, 140.11879519035534, 107.39677295096966]"
113,220978100,"[2.9876502192124885, 1.4908176428169, 9.03718596848019, 1.0]","[299.99774882775296, 104.85178560806658, 104.78712132072464, 88.13248136424552]"
114,318184221,"[6.0008395886725205, 1.0, 3.001123240442947, 4.499362171046914]","[100.19741865647175, 77.48284324515804, 62.23993442787572, 34.68282944803205]"
120,439180496,"[10.0, 5.0350400700063105, 1.6626886908460208, 1.256520320358855]","[245.96325123428386, 199.7028525558538, 116.15131718474761, 95.74943545398393]"
121,17787432,"[4.98432385875392, 2.492746214819205, 1.6626886908460208, 6.647637331096644]","[152.46094291671568, 52.63344028606501, 38.24995265064324, 30.157058881652226]"
122,188576708,"[10.0, 3.7498228177378365, 5.0350400700063105, 2.9876502192124885]","[101.70504399964942, 55.050377384286726, 47.53588321039811, 45.6709635902249]"
